Uniprot.ID,Symbol,Hu.Symbol,NVmean,NDmean,TVmean,TDmean,TVNVdir,NVND.adj,NVTV.adj,NVTD.adj,Tdrescue,J.Symbol,J.Uniprot,Fvalue,ANOVA,AS.pval.adj,AD.pval.adj,AS.sig,AD.sig,CT.log,AS.log,AD.log,AS.dir,AD.dir,AS.match,AD.match,AS.sigmat,AD.sigmat
A0A3Q4EI12,Rab18,RAB18,1.242,1.39775,1.2955,1.25975,up,0.244231419,0.037393237,0.876115353,resc,RAB18,Q9NP72,3.274280773,0.047246022,0.498673043,0.422742481,ns,ns,0,0.045968196,-0.050701883,up,down,match,unm,no,no
A0A589M675,Shank3,SHANK3,1.07225,0.9035,0.9365,0.92125,down,0.174596941,0.019716917,0.041767135,nr,SHANK3,Q9BYB0-3,3.25203433,0.04817024,0.048814714,0.126393322,sig,ns,0,-0.436782273,-0.285599751,down,down,match,match,yes,no
A2AUD5,Tpd52l2,TPD52L2,1.0845,1.01925,0.9315,0.985,down,0.476344837,0.047791246,0.19821797,resc,TPD52L2,O43399-3,0.336885748,0.715815793,0.871449815,0.963948715,ns,ns,0,-0.024932893,0.024885258,down,up,match,unm,no,no
A2AVR9,Dynlrb1,DYNLRB1,1.17825,0.9395,0.68225,0.86575,down,0.254596693,0.040902416,0.119663601,resc,DYNLRB1,Q9NP97,1.558010251,0.221947183,0.982171352,0.27560618,ns,ns,0,-0.026658819,-0.131971476,down,down,match,match,no,no
A3KGU9,Sptan1,SPTAN1,0.95525,1.03475,1.0675,1.026,up,0.593859331,0.042948284,0.150975215,resc,SPTAN1,Q13813-3,0.173914905,0.840956562,0.830544275,0.968155257,ns,ns,0,0.088047853,0.047115786,up,up,match,match,no,no
B1ATL6,Map2k4,MAP2K4,1.036,1.16275,1.493,1.277,up,0.428368965,0.049816862,0.136860592,resc,MAP2K4,P45985,6.528191906,0.003290528,0.040615713,0.002567522,sig,sig,0,-0.115274338,-0.157897039,down,down,unm,unm,no,no
D3YYN7,Atp1a2,ATP1A2,0.96525,0.94775,1.22125,1.007,up,0.960169626,0.049092747,0.789977116,resc,ATP1A2,B1AKY9,1.621902609,0.209108524,0.976663448,0.367527457,ns,ns,0,0.011419252,-0.064692221,up,down,match,unm,no,no
D3Z396,Ntm,NTM,1.213,1.32775,1.133,1.12525,down,0.247480395,0.039458619,0.051382238,resc,NTM,Q9P121-4,3.276717743,0.047145912,0.493116358,0.038514078,ns,sig,0,-0.070765137,-0.166851201,down,down,match,match,no,yes
D3Z4C9,Uqcc2,UQCC2,1.029,0.95425,0.888,0.97,down,0.440666522,0.034906919,0.560263027,resc,UQCC2,V5IRT4,2.849306352,0.069396488,0.188617237,0.923814684,ns,ns,0,-0.265960407,0.087981356,down,up,match,unm,no,no
D3Z7C6,Ptges3,PTGES3,1.33625,1.1615,1.03475,1.014,down,0.162588394,0.015713219,0.024160471,nr,PTGES3,Q15185-4,2.160931359,0.127291148,0.106322524,0.522707051,ns,ns,0,-0.092807848,-0.043457972,down,down,match,match,no,no
E0CX61,Sgtb,SGTB,1.20425,1.1805,0.97625,1.076,down,0.873604292,0.049092747,0.149739848,resc,SGTB,Q96EQ0,5.38715477,0.008077311,0.817417929,0.061817921,ns,ns,0,0.049669301,-0.171957711,up,down,unm,match,no,no
E9PUL5,Prrt2,PRRT2,1.16275,1.2275,0.916,1.06175,down,0.476350089,0.027415745,0.224197051,resc,PRRT2,Q7Z6L0,2.866920853,0.067548345,0.37781202,0.053653214,ns,ns,0,-0.147361191,-0.231418976,down,down,match,match,no,no
E9PV44,Atpif1,ATPIF1,1.03275,0.92875,0.75475,0.821,down,0.224922602,0.016547582,0.025300189,nr,ATPIF1,Q9UII2,3.846461078,0.028871879,0.040662544,0.055598517,sig,ns,0,0.521121443,0.52587595,up,up,unm,unm,no,no
E9PWE8,Dpysl3,DPYSL3,0.92525,0.949,1.20725,1.08925,up,0.584315723,0.044554932,0.015928116,nr,DPYSL3,Q14195-2,0.705343524,0.499437656,0.999994759,0.592099118,ns,ns,0,-0.012533444,0.070607206,down,up,unm,match,no,no
E9Q1K3,Add1,ADD1,0.973,1.052,1.20425,1.0675,up,0.342214855,0.046786997,0.20227608,resc,ADD1,P35611-6,3.696070119,0.032827014,0.033862198,0.721788147,sig,ns,0,-0.117683973,-0.02918597,down,down,unm,unm,no,no
E9Q4K0,Ablim2,ABLIM2,1.171,1.021,0.944,1.00175,down,0.184139465,0.00780182,0.015928116,nr,ABLIM2,Q6H8Q1-2,5.728579632,0.006150229,0.920506104,0.012026793,ns,sig,0,-0.034393465,-0.21097764,down,down,match,match,no,yes
