Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
HADH,5.757,3.596,0.259,0,2.403,2.048,1.244,0.854,1.627,1.44325,5.21E-01,-0.96,0.283,
VBP1,0,2.202,1.673,0,0.96875,0,0,0,0,0,1.40E-01,-0.969,0.854,
EXOSC10,4.721,0.138,2.651,0.146,1.914,0.739,0.886,1.076,0.979,0.92,4.05E-01,-0.994,0.393,
PHB2,3.531,1.87,1.27,0,1.66775,0,2.17,0.267,0.116,0.63825,2.94E-01,-1.03,0.532,
S100A2,8.644,5.919,3.752,3.824,5.53475,3.952,4.54,4.735,4.648,4.46875,3.96E-01,-1.066,0.403,
No Gene,5.187,5.411,7.345,0,4.48575,6.078,5.985,0.401,1.028,3.373,6.31E-01,-1.113,0.2,
VCP,8.335,5.291,4.484,4.468,5.6445,5.972,4.824,2.83,4.487,4.52825,3.59E-01,-1.116,0.445,
NAT10,5.299,2.363,1.661,0.226,2.38725,1.139,2.252,0.752,0.743,1.2215,3.40E-01,-1.166,0.468,
CTPS1,6.641,1.919,0.291,0,2.21275,0.86,1.417,0.419,1.431,1.03175,4.76E-01,-1.181,0.322,
SERPINH1,5.804,2.069,0.935,0,2.202,0.663,1.86,0.211,1.191,0.98125,3.91E-01,-1.221,0.408,
SNRPE,6.23,4.505,0.571,0.316,2.9055,1.579,1.427,1.294,2.288,1.647,4.28E-01,-1.259,0.368,
XIRP2,0.991,5.741,6.095,4.959,4.4465,5.801,5.776,0.946,0.143,3.1665,5.30E-01,-1.28,0.275,
LRPPRC,5.184,1.598,1.909,0.292,2.24575,0.734,1.975,0.251,0.832,0.948,2.84E-01,-1.298,0.547,TRUE
CASA1_BOVIN,0.887,1.587,2.409,6.214,2.77425,0,0.618,2.962,2.232,1.453,3.73E-01,-1.321,0.428,
FER,0,0,0,6.231,1.55775,0,0.367,0,0.549,0.229,4.28E-01,-1.329,0.368,
ANXA1,8.632,0.947,4.077,0,3.414,2.012,2.733,2.579,0.906,2.0575,5.21E-01,-1.357,0.283,
XPO1,7.016,0,0,2.007,2.25575,0.438,0.767,0.886,1.416,0.87675,4.40E-01,-1.379,0.357,
DIEXF,1.696,2.258,3.011,0.402,1.84175,0.941,0.313,0.371,0.037,0.4155,4.97E-02,-1.427,1.304,
GAPVD1,0,2.901,2.901,0,1.4505,0,0,0,0,0,1.34E-01,-1.45,0.873,
RBBP7,5.532,3.643,0.508,0.549,2.558,0.793,1.117,1.118,1.315,1.08575,2.79E-01,-1.472,0.554,
EZR,6.969,3.448,0.928,0.022,2.84175,1.129,3.325,0,0.979,1.35825,4.18E-01,-1.484,0.379,
AK2,7.531,4.179,0.544,1.549,3.45075,1.637,2.328,1.907,1.934,1.9515,3.76E-01,-1.499,0.425,
COPB2,5.093,3.695,0,0.614,2.3505,0.636,0.723,1.335,0.66,0.8385,2.66E-01,-1.512,0.576,
EGFL6,1.311,0,5.936,4.46,2.92675,1.862,1.056,1.123,1.491,1.383,3.07E-01,-1.544,0.512,
PGD,4.879,0,0,1.818,1.67425,0.44,0,0,0,0.11,2.25E-01,-1.564,0.648,
DNAJA1,6.046,0.751,0,0.067,1.716,0.205,0,0.258,0,0.11575,3.14E-01,-1.6,0.504,
HSPH1,8.721,8.689,8.938,8.32,8.667,7.057,6.971,6.614,7.624,7.0665,6.20E-04,-1.601,3.208,
XRCC6,5.259,0.676,0.573,0,1.627,0,0,0,0,0,2.31E-01,-1.627,0.637,
UBR3,11.898,11.997,0.731,0.062,6.172,2.157,2.033,12.079,1.875,4.536,7.09E-01,-1.636,0.149,
RPS2,2.454,1.559,1.07,1.514,1.64925,0,0,0,0,0,1.27E-03,-1.649,2.895,TRUE
HSPA9,3.503,3.34,3.2,2.507,3.1375,2.06,0,2.167,1.673,1.475,2.31E-02,-1.662,1.637,
TDP2,2.676,3.214,3.584,1.739,2.80325,2.9,1.656,0,0,1.139,8.60E-02,-1.664,1.066,
SDHA,7.39,1.404,4.138,2.854,3.9465,2.687,3.256,0,3.177,2.28,3.06E-01,-1.666,0.514,
RPN2,2.687,0.878,2.977,0.137,1.66975,0,0,0,0,0,5.20E-02,-1.67,1.284,
HNRNPA2B1,5.062,3.022,2.214,0.743,2.76025,0.64,0.477,0,3.165,1.0705,1.91E-01,-1.69,0.718,
IGLV8-61,0.302,0,3.899,2.644,1.71125,0,0,0,0,0,1.18E-01,-1.711,0.928,
RPL22,5.531,0,1.211,0.241,1.74575,0,0,0,0,0,2.24E-01,-1.746,0.649,TRUE
PYCR1,4.727,0,2.287,0,1.7535,0,0,0,0,0,1.71E-01,-1.753,0.767,
DDX21,5.958,0.314,2.712,3.555,3.13475,1.457,1.305,0.861,1.567,1.2975,1.69E-01,-1.837,0.772,
DNAH10,3.085,3.702,3.855,3.901,3.63575,0,3.533,0,3.612,1.78625,1.28E-01,-1.849,0.892,
CHD4,4.253,1.805,2.439,3.149,2.9115,0.492,0.722,1.415,1.437,1.0165,1.68E-02,-1.895,1.775,
HINT1,3.736,2.194,1.675,0,1.90125,0,0,0,0,0,4.86E-02,-1.901,1.314,
ACLY,6.826,2.628,2.552,0.985,3.24775,1.323,1.033,0.896,2.018,1.3175,1.81E-01,-1.93,0.742,
CTNNA1,6.507,3.788,0.186,0.087,2.642,0.489,1.302,0.426,0.614,0.70775,2.62E-01,-1.934,0.582,
H3F3B,5.4,2.35,0,0,1.9375,0,0,0,0,0,1.81E-01,-1.937,0.742,
