Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
SQSTM1,1.348,0,0.931,0,0.56975,11.768,11.954,11.212,12.639,11.89325,3.46E-07,11.324,6.589,
UBB,6.136,4.017,6.1,3.618,4.96775,15.37,15.901,15.254,16.143,15.667,4.86E-06,10.699,5.298,
USP5,4.419,2.689,0,2.121,2.30725,13.171,13.133,12.337,13.16,12.95025,2.73E-05,10.643,4.563,
AP3B2,0.815,0.38,0,1.216,0.60275,11.197,11.441,10.801,10.65,11.02225,8.97E-08,10.419,7.255,
GOLGA2,0.584,0.404,0.545,0,0.38325,10.09,10.119,10.57,10.303,10.2705,1.65E-10,9.887,8.712,
SNRNP70,3.949,3.462,0,3.381,2.698,12.606,13.045,12.408,12.105,12.541,4.16E-05,9.843,4.38,
UBR4,0,0,0.115,0,0.02875,10.015,9.946,8.771,9.88,9.653,9.22E-08,9.624,7.244,
WDR26,1.453,0.685,0.624,0.22,0.7455,10.53,10.228,9.522,10.798,10.2695,3.41E-07,9.524,6.598,
YWHAH,0,0,0,0.289,0.07225,8.291,8.494,10.572,10.459,9.454,5.02E-06,9.382,5.284,
PSMD2,1.162,0.357,0.19,0.083,0.448,10.109,10.027,8.659,9.601,9.599,6.05E-07,9.151,6.26,
CCDC174,0.175,0,0.263,0,0.1095,8.97,9.012,8.831,9.394,9.05175,1.04E-11,8.942,9.059,
PSD3,0.323,0.47,0.813,0.978,0.646,9.49,9.956,8.699,9.895,9.51,2.45E-07,8.864,6.783,
PSMD11,1.108,0.006,0.297,0.332,0.43575,9.687,9.483,8.473,9.278,9.23025,3.74E-07,8.795,6.543,
SPATS2L,0.847,0,0,0.296,0.28575,9.256,9.745,8.675,8.621,9.07425,2.78E-07,8.789,6.715,
PSMC6,1.416,0,0.266,1.142,0.706,9.57,9.461,8.605,9.177,9.20325,7.63E-07,8.498,6.131,
PSMC2,0.777,0.089,0.746,0,0.403,9.136,9.085,8.385,8.777,8.84575,1.17E-07,8.443,7.144,
UCHL1,0,2.874,0,0.367,0.81025,9.312,10.362,9.601,7.596,9.21775,8.88E-05,8.408,4.051,
DNM1,2.916,0.616,1.619,0.095,1.3115,9.694,9.9,9.238,9.896,9.682,1.22E-05,8.371,4.908,
TPM3,0,0,0.34,0.016,0.089,8.696,9.12,7.228,8.52,8.391,1.01E-06,8.302,5.988,
NAPB,1.197,0.147,0.481,0,0.45625,8.844,9.255,8.59,7.768,8.61425,1.04E-06,8.158,5.971,
SPTAN1,1.488,0,2.837,5.823,2.537,10.822,11.167,10.578,10.198,10.69125,6.35E-04,8.154,3.198,
CLIP2,0.191,0.524,0,0.317,0.258,8.921,8.799,7.446,8.404,8.3925,5.03E-07,8.134,6.367,
ANK2,0.604,0.116,0,0.687,0.35175,8.533,8.787,8.052,8.275,8.41175,6.21E-08,8.06,7.396,
MAEA,0.859,0.335,0.208,0,0.3505,8.707,8.692,7.61,8.585,8.3985,3.55E-07,8.048,6.574,
YWHAG,1.457,2.193,2.366,1.721,1.93425,10.164,10.265,9.683,9.608,9.93,1.50E-07,7.996,7.032,
PSMC5,1.436,0,0,0,0.359,8.781,8.64,7.733,8.225,8.34475,1.47E-06,7.986,5.808,
KIF5C,0.983,1.393,1.094,0.113,0.89575,9.374,9.17,7.602,9.204,8.8375,3.65E-06,7.942,5.418,
PSMC4,1.017,0.094,0.279,0,0.3475,8.705,8.665,7.727,8.028,8.28125,4.46E-07,7.934,6.439,
PSMD13,0.294,0,0,0.156,0.1125,8.295,8.187,7.213,7.961,7.914,1.28E-07,7.802,7.104,
ARMC8,1.771,0.989,1.444,0.938,1.2855,9.489,9.084,8.459,9.31,9.0855,2.97E-07,7.8,6.676,
FAM81A,0.543,0.211,0.782,0.179,0.42875,8.048,8.498,8.147,8.188,8.22025,5.43E-09,7.792,8.089,
PFKP,4.513,1.066,0.318,0.2,1.52425,9.517,9.444,8.74,9.461,9.2905,2.84E-04,7.766,3.547,
RPS6,0.245,1.085,1.041,0,0.59275,8.407,9.588,7.826,7.497,8.3295,6.77E-06,7.737,5.159,TRUE
SYN1,1.992,2.362,0.533,3.721,2.152,9.721,10.359,9.621,9.81,9.87775,2.67E-05,7.726,4.571,
AP2M1,1.158,0.789,0,0.495,0.6105,8.64,8.652,8.388,7.571,8.31275,6.51E-07,7.703,6.219,
CAP2,0,0.745,0,0.965,0.4275,8.184,8.108,7.561,8.55,8.10075,4.49E-07,7.673,6.435,
NAP1L5,0.138,0.515,0,0,0.16325,8.262,7.986,7.316,7.483,7.76175,1.39E-07,7.599,7.068,
MAP2K1,0.865,0,0,1.406,0.56775,8.141,8.674,7.833,7.99,8.1595,1.16E-06,7.592,5.917,
RANBP9,0.037,1.602,0.863,0.797,0.82475,8.638,8.566,7.565,8.886,8.41375,2.06E-06,7.589,5.659,
APOE,2.154,1.271,0.479,1.432,1.334,9.705,9.692,8.34,7.925,8.9155,1.15E-05,7.581,4.934,
PSMC1,2.758,0,0,0.331,0.77225,9.02,8.428,7.308,8.477,8.30825,5.94E-05,7.536,4.226,
RPS9,0.562,0.333,0,0,0.22375,8.147,8.745,7.969,6.168,7.75725,1.17E-05,7.533,4.927,TRUE
ZNF365,0.633,0.828,0.291,0,0.438,8.331,8.892,6.854,7.471,7.887,4.78E-06,7.449,5.305,
PSMD12,0.863,0,0,0.108,0.24275,8.068,8.06,7.063,7.451,7.6605,5.13E-07,7.418,6.356,
GID8,0,0.403,0,0,0.10075,7.781,7.69,6.777,7.743,7.49775,2.00E-07,7.397,6.891,
CAMKV,1.691,0,1.149,0,0.71,8.271,8.25,7.68,8.187,8.097,2.97E-06,7.387,5.504,
LANCL1,0,0.163,2.79,1.524,1.11925,8.164,9.011,8.285,8.412,8.468,3.70E-05,7.349,4.431,
GPI,3.081,0,1.561,0,1.1605,8.902,9.27,8.649,7.195,8.504,1.48E-04,7.343,3.829,
PSMD1,1.025,0.205,1.009,0.702,0.73525,8.46,8.459,7.206,8.103,8.057,8.25E-07,7.321,6.09,
HSPA12A,0.088,0.956,0.882,3.272,1.2995,8.728,8.591,8.228,8.87,8.60425,4.53E-05,7.305,4.343,
ATL1,0.146,0,0.242,0,0.097,7.777,7.804,6.802,7.168,7.38775,1.77E-07,7.291,6.953,
TBCB,1.738,0,0,0,0.4345,7.828,8.215,7.23,7.549,7.7055,5.19E-06,7.271,5.27,
GAS7,0.634,0.393,0,0.225,0.313,7.363,7.998,7.073,7.415,7.46225,1.37E-07,7.149,7.072,
YWHAE,3.057,4.088,2.944,2.451,3.135,10.451,10.626,10.241,9.625,10.23575,2.15E-06,7.101,5.642,
PTPN18,0.736,0.567,0.526,0.072,0.47525,7.382,7.89,6.924,7.589,7.44625,2.06E-07,6.971,6.876,
PLCB1,1.402,2.1,2.302,0,1.451,9.039,8.817,7.673,8.156,8.42125,2.61E-05,6.97,4.581,
AHNAK,1.595,1.154,0.826,0,0.89375,8.101,8.675,7.342,7.232,7.8375,6.53E-06,6.944,5.174,
GID4,0.605,0,1.281,2.606,1.123,8.29,8.146,7.302,8.426,8.041,2.91E-05,6.918,4.535,
PDXK,0,0,0.513,0,0.12825,7.184,7.254,6.637,7.071,7.0365,3.90E-08,6.908,7.557,
EPB41L1,0.711,0,0,4.406,1.27925,8.311,8.321,7.501,8.464,8.14925,7.02E-04,6.87,3.154,
LUC7L3,0.206,0.051,0,0,0.06425,6.865,7.574,5.637,7.589,6.91625,5.67E-06,6.852,5.233,
PSMD6,0.654,0.011,0,0,0.16625,7.482,7.13,6.04,7.366,7.0045,1.48E-06,6.838,5.807,
SNAP25,1.158,1.07,0,0,0.557,7.679,8.224,7.253,6.352,7.377,1.07E-05,6.82,4.966,
INA,1.096,0,0,4.788,1.471,8.259,8.293,7.976,8.633,8.29025,9.96E-04,6.819,3.002,
PHYHIP,0.732,0.645,0,0.938,0.57875,7.464,7.734,6.846,7.389,7.35825,3.80E-07,6.78,6.533,
SPTBN1,0,2.307,2.03,3.017,1.8385,8.619,9.083,8.414,8.219,8.58375,5.72E-05,6.745,4.242,
STXBP1,0,2.396,2.712,0.141,1.31225,8.196,8.408,7.815,7.749,8.042,9.72E-05,6.729,4.012,
NEFM,0.248,4.854,2.73,5.8,3.408,10.076,10.384,9.951,10.132,10.13575,1.60E-03,6.728,2.795,
PEA15,1.026,0.281,1.184,1.298,0.94725,7.7,8.186,7.433,7.191,7.6275,7.21E-07,6.68,6.162,
YPEL5,0.647,0,0.115,1.043,0.45125,7.313,7.046,6.575,7.431,7.09125,6.89E-07,6.64,6.187,
RPL19,0,0,0.134,0,0.0335,6.703,8.73,7.543,3.529,6.62625,1.03E-03,6.593,2.985,TRUE
AP2B1,0.812,0.604,0,0,0.354,7.314,6.941,6.658,6.595,6.877,3.86E-07,6.523,6.525,
WDR75,0,0,12.393,0,3.09825,0.283,12.817,12.674,12.709,9.62075,1.88E-01,6.522,0.726,
PIN1,0.447,0,0,0,0.11175,6.763,6.941,6.168,6.465,6.58425,1.05E-07,6.472,7.191,
RABEP1,0.372,0.787,0,1.04,0.54975,7.318,7.569,5.689,7.465,7.01025,1.29E-05,6.46,4.883,
KIAA0513,0.123,0,0,0.489,0.153,6.885,7.049,6.061,6.458,6.61325,3.12E-07,6.46,6.649,
MAPK8IP3,0.916,1.227,0.075,1.365,0.89575,7.646,8.109,5.663,7.927,7.33625,5.36E-05,6.441,4.271,
CCDC113,0.943,0.145,0,0.252,0.335,7.277,7.65,6.454,5.714,6.77375,1.05E-05,6.439,4.971,
DNM2,0.359,0.327,0,0.947,0.40825,6.982,6.765,6.373,7.16,6.82,3.79E-07,6.412,6.536,
3-Sep,1.335,0.021,0.096,0,0.363,6.886,7.496,7.032,5.551,6.74125,1.96E-05,6.379,4.705,
11-Sep,0.433,0,0,0.993,0.3565,7.022,7.587,6.991,5.285,6.72125,2.52E-05,6.365,4.597,
SCRN1,1.034,0.669,5.021,1.479,2.05075,9.097,9.313,8.548,6.692,8.4125,1.59E-03,6.362,2.8,
MYO5A,0.011,0,0,0,0.00275,6.397,6.963,5.567,6.469,6.349,6.37E-07,6.347,6.231,
RUFY3,1.244,0,0,2.271,0.87875,6.946,7.516,6.834,7.458,7.1885,3.43E-05,6.31,4.464,
KIAA1045,0,0.029,0,0.532,0.14025,6.184,6.831,5.728,6.995,6.4345,1.11E-06,6.294,5.941,
RPS26P11,1.465,0,0.634,0.773,0.718,7.267,7.635,6.443,6.64,6.99625,4.58E-06,6.279,5.322,TRUE
NSF,0,0,0,4.012,1.003,7.236,7.517,6.889,7.431,7.26825,8.20E-04,6.265,3.086,
CRMP1,1.382,0,0,1.456,0.7095,7.375,7.428,7.289,5.728,6.955,3.77E-05,6.245,4.422,
WDR1,0.819,0.504,0.67,0,0.49825,6.794,7.345,6.372,6.386,6.72425,7.02E-07,6.226,6.177,
RPL17,0.911,0.386,0.619,0.651,0.64175,7.28,7.516,6.475,6.178,6.86225,1.52E-06,6.221,5.793,TRUE
MAPRE2,0.767,0,2.236,2.554,1.38925,7.448,7.691,7.218,7.984,7.58525,6.18E-05,6.196,4.208,
MTURN,0.614,0,0,0.731,0.33625,6.446,6.811,6.106,6.663,6.5065,3.68E-07,6.17,6.553,
FAF1,0.512,0,0,0,0.128,6.988,6.58,5.753,5.8,6.28025,1.42E-06,6.153,5.824,
HSP90AB1,8.689,2.33,3.417,0,3.609,9.932,10.069,9.339,9.683,9.75575,1.57E-02,6.147,1.803,
RNF126,0,0,0,0,0,6.807,6.777,5.427,5.568,6.14475,3.11E-06,6.145,5.484,
AMPH,0.796,0.285,0.981,0,0.5155,6.949,7.552,6.809,5.287,6.64925,2.55E-05,6.134,4.591,
MYH10,1.669,0,0,0,0.41725,6.771,6.966,6.125,6.32,6.5455,1.10E-05,6.128,4.953,
MYH7B,0,0,0,0,0,6.414,6.505,6.297,5.245,6.11525,8.06E-07,6.115,6.102,
ARHGDIA,1.394,0.169,3.332,0.376,1.31775,7.829,8.56,7.545,5.735,7.41725,6.35E-04,6.1,3.197,
CBR1,1.831,0.997,0.921,0.283,1.008,7.057,7.617,7.753,5.988,7.10375,2.11E-05,6.096,4.674,
PAFAH1B1,0.988,0.967,0,0.19,0.53625,6.834,7.497,6.209,5.883,6.60575,8.87E-06,6.069,5.044,
RNF168,0.014,0.783,0,0,0.19925,6.283,6.636,5.56,6.463,6.2355,1.07E-06,6.036,5.958,
PRKAR2B,1.624,0.438,0,0.74,0.7005,6.797,7.243,6.417,6.424,6.72025,4.86E-06,6.02,5.298,
DSTN,0.457,0.32,0.107,0,0.221,6.675,6.641,5.642,5.71,6.167,1.08E-06,5.946,5.954,
PSMD7,4.928,1.027,0,0.59,1.63625,7.983,7.761,6.649,7.84,7.55825,2.20E-03,5.922,2.658,
CCDC85B,1.603,1.059,0.829,1.316,1.20175,7.361,7.424,6.441,7.114,7.085,7.75E-07,5.883,6.123,
ZIM3,0.69,0.44,1.068,0.412,0.6525,6.453,6.693,6.218,6.736,6.525,1.38E-07,5.872,7.071,
RNPS1,0.674,0,0,0,0.1685,6.323,6.263,5.48,6.015,6.02025,5.24E-07,5.852,6.343,
CSNK1E,0.664,0,0.325,0,0.24725,6.155,6.337,5.345,6.473,6.0775,1.12E-06,5.83,5.934,
RPS16,0.417,0.053,0,0,0.1175,6.279,6.077,5.415,6.019,5.9475,2.28E-07,5.83,6.822,TRUE
RMND5A,0.115,0.436,0.826,0.984,0.59025,6.789,6.411,5.861,6.584,6.41125,8.08E-07,5.821,6.101,
RPS4X,0.452,0.273,0,0.134,0.21475,6.25,6.578,5.313,5.996,6.03425,8.97E-07,5.819,6.047,TRUE
DYNLL2,0,0.055,0,0,0.01375,6.11,6.232,5.391,5.555,5.822,2.05E-07,5.808,6.878,
PTPN20A,2.034,0.298,1.395,0.807,1.1335,2.38,8.234,8.201,8.918,6.93325,1.02E-02,5.8,1.991,
PRKACB,1.04,0,0.271,0.7,0.50275,6.316,6.963,6.653,5.269,6.30025,1.08E-05,5.798,4.963,
HSP90AA1,3.56,1.529,1.996,1.018,2.02575,8.164,8.022,7.501,7.596,7.82075,5.37E-05,5.795,4.269,
TRIM2,0.072,0,0,0,0.018,6.133,6.169,5.794,5.102,5.7995,4.85E-07,5.781,6.389,
YWHAB,3.064,2.284,1.736,0,1.771,7.795,7.925,7.342,7.125,7.54675,1.42E-04,5.776,3.848,
CCDC6,1.875,0.453,1.591,0.926,1.21125,7.404,7.269,6.458,6.799,6.9825,5.67E-06,5.772,5.233,
PSMD4,0.263,0,0,0.212,0.11875,6.333,5.981,5.488,5.73,5.883,1.53E-07,5.764,7.022,
DNAJB2,1.033,1.077,1.101,3.236,1.61175,7.723,7.664,6.603,7.467,7.36425,7.39E-05,5.753,4.131,
RTN4,1.27,0.684,3.338,0.581,1.46825,7.462,7.685,6.86,6.743,7.1875,1.55E-04,5.719,3.809,
ARGLU1,0.499,0.37,0,0,0.21725,5.791,6.373,5.601,5.967,5.933,2.35E-07,5.716,6.806,
AK1,2.527,0.017,0.239,0,0.69575,6.425,6.865,6.013,6.321,6.406,1.08E-04,5.71,3.965,
OTUB1,0,0,0.072,0.316,0.097,5.994,6.338,5.603,5.292,5.80675,4.44E-07,5.709,6.441,
MAP1B,2.588,3.386,1.708,5.065,3.18675,9.28,9.319,8.647,8.3,8.8865,2.82E-04,5.7,3.549,
EIF3C,0.515,0,0,0,0.12875,6.625,6.647,5.413,4.587,5.818,3.37E-05,5.689,4.472,TRUE
RPL35,0,0.977,3.747,0.269,1.24825,7.162,7.722,6.773,6.08,6.93425,8.48E-04,5.686,3.071,TRUE
USP14,4.669,0,0,0,1.16725,7.197,7.381,6.505,6.194,6.81925,3.30E-03,5.652,2.481,
STX1B,0,2.124,1.593,0,0.92925,6.788,7.504,6.809,5.152,6.56325,2.69E-04,5.634,3.57,
OPTN,0.274,0.391,0,0,0.16625,6.219,5.769,5.137,6.073,5.7995,6.68E-07,5.633,6.205,
MAP7D2,0.333,0.804,0,0,0.28425,6.174,6.133,5.462,5.884,5.91325,5.74E-07,5.629,6.291,
TUBB2B,0.717,0,1.084,2.793,1.1485,7.19,6.93,6.032,6.93,6.7705,1.26E-04,5.622,3.901,
H1F0,0,0,0.321,0,0.08025,5.758,7.247,6.275,3.5,5.695,4.12E-04,5.615,3.385,
KNDC1,1.192,0.606,0,11.724,3.3805,11.212,11.422,1.83,11.494,8.9895,1.78E-01,5.609,0.75,
YWHAZ,2.266,1.634,1.953,1.886,1.93475,7.666,7.858,7.213,7.316,7.51325,2.09E-07,5.578,6.869,
GNB2,0.939,0.093,0.158,1.74,0.7325,7.009,6.917,5.114,6.155,6.29875,7.69E-05,5.566,4.114,
RPS8,2.519,0.405,0.095,0.291,0.8275,5.87,8.578,7.371,3.688,6.37675,3.55E-03,5.549,2.45,TRUE
MLF2,1.494,0,0.717,0,0.55275,6.595,5.96,5.363,6.429,6.08675,1.77E-05,5.534,4.749,
RAP1GDS1,1.061,0.859,0.374,0,0.5735,6.56,6.787,5.988,5.078,6.10325,1.75E-05,5.53,4.753,
PIP4K2B,1.838,0.894,2.326,0.158,1.304,6.823,6.838,6.87,6.765,6.824,2.73E-05,5.52,4.562,
EIF4A2,5.132,0.591,0,0,1.43075,7.426,7.878,7.633,4.797,6.9335,8.60E-03,5.503,2.066,TRUE
RPL11,0.54,0.163,0,0.498,0.30025,6.444,6.238,5.415,5.052,5.78725,4.53E-06,5.487,5.327,TRUE
NSFL1C,0.432,0.025,0,0.509,0.2415,6.077,6.431,5.544,4.779,5.70775,7.23E-06,5.466,5.131,
CAMK2G,1.883,0.517,1.072,3.125,1.64925,7.388,6.853,7.196,6.87,7.07675,8.52E-05,5.428,4.069,
CNDP2,0.507,0,0,0.725,0.308,6.305,6.959,5.928,3.733,5.73125,2.90E-04,5.423,3.537,
EVL,0,0,0,0,0,5.166,6.038,4.521,5.85,5.39375,4.23E-06,5.394,5.356,
ATP5C1,0.469,2.148,0.901,1.992,1.3775,6.198,9.919,5.895,5.069,6.77025,3.39E-03,5.393,2.47,
GSN,1.333,0.596,4.269,0,1.5495,6.89,7.468,7.359,5.984,6.92525,1.75E-03,5.376,2.758,
MAPK1,0,0,0,0,0,5.399,6.233,5.487,4.32,5.35975,9.60E-06,5.36,5.011,TRUE
RPS11,1.771,0.035,0.587,1.516,0.97725,6.112,6.793,5.837,6.542,6.321,2.36E-05,5.344,4.625,TRUE
PFKL,1.2,0.867,0,2.441,1.127,6.475,6.645,6.389,6.328,6.45925,4.50E-05,5.332,4.346,
TNIK,0.078,0,0.405,1.104,0.39675,5.769,5.879,5.471,5.779,5.7245,1.00E-06,5.328,5.991,
PTGES3,1.233,0.416,0.146,0,0.44875,6.983,5.064,4.044,7.002,5.77325,4.99E-04,5.325,3.302,
NCDN,0.717,0,0,0.037,0.1885,5.717,6.987,6.02,3.215,5.48475,6.65E-04,5.296,3.177,
NEFL,0,2.099,1.07,3.468,1.65925,7.075,7.142,6.538,7.05,6.95125,4.13E-04,5.292,3.384,
RPS17,0,0.697,0.268,4.418,1.34575,7.011,6.902,6.075,6.445,6.60825,2.50E-03,5.262,2.602,TRUE
ATRIP,0.559,0,0,0,0.13975,5.414,5.383,5.467,5.267,5.38275,4.50E-08,5.243,7.509,
CEP63,0.992,0,0,0,0.248,5.704,5.884,5.338,5.015,5.48525,2.85E-06,5.237,5.522,
PSMD3,6.228,0,0.371,3.873,2.618,8.477,7.677,7.082,8.166,7.8505,1.37E-02,5.232,1.865,
CKB,2.714,2.542,2.518,0.034,1.952,7.241,7.392,6.822,7.277,7.183,2.02E-04,5.231,3.695,
BLOC1S3,0.345,0.006,0.436,0,0.19675,5.193,6.04,4.75,5.701,5.421,2.39E-06,5.224,5.596,
BLVRB,1.469,0.142,0.661,0.142,0.6035,5.869,6.291,5.693,5.432,5.82125,6.77E-06,5.218,5.158,
TAX1BP1,0.514,0.892,0.09,0.194,0.4225,5.764,5.579,5.032,6.131,5.6265,1.88E-06,5.204,5.701,
SRP14,4.746,0,0.302,0.583,1.40775,6.957,6.592,6.307,6.452,6.577,3.75E-03,5.169,2.426,
GAD2,0.216,0,0.483,0,0.17475,5.587,5.344,4.853,5.575,5.33975,3.56E-07,5.165,6.572,
BIN1,1.012,0.682,1.29,1.308,1.073,6.444,7.021,5.695,5.77,6.2325,5.44E-06,5.16,5.25,
5-Sep,5.023,0,0.42,0.72,1.54075,6.357,7.114,7.342,5.982,6.69875,5.36E-03,5.158,2.271,
HERC1,0.784,1.549,0.309,0.43,0.768,6.377,6.198,4.807,6.284,5.9165,3.21E-05,5.148,4.492,
PFKM,0.158,4.485,4.542,3.741,3.2315,8.518,8.933,7.847,8.202,8.375,2.92E-03,5.144,2.534,
RPS27,0,0.274,0,0,0.0685,5.286,5.644,5.06,4.824,5.2035,2.36E-07,5.135,6.805,TRUE
CAP1,2.956,1.656,1.753,2.346,2.17775,7.909,7.061,6.734,7.481,7.29625,1.27E-05,5.118,4.89,
No Gene,0.563,0.249,0.004,0.497,0.32825,0.962,7.143,6.635,7.042,5.4455,1.45E-02,5.117,1.84,
CORO1A,0.61,1.155,0.64,0,0.60125,6.048,6.272,5.522,5.008,5.7125,8.53E-06,5.111,5.061,
NAP1L3,1.186,0.82,0,0.458,0.616,5.839,5.851,5.686,5.456,5.708,1.36E-06,5.092,5.845,
TUBA1A,0,0,0,1.844,0.461,5.773,5.358,5.273,5.789,5.54825,4.17E-05,5.087,4.379,
PSMC3,1.79,0,0,0,0.4475,5.885,5.588,4.886,5.766,5.53125,5.27E-05,5.084,4.277,
MAP7D1,0.471,0,0,0.898,0.34225,5.774,6.427,1.484,7.914,5.39975,1.11E-02,5.058,1.955,
APP,0,0,0,0,0,5.671,5.479,3.096,5.979,5.05625,2.61E-04,5.056,3.583,TRUE
RPS14,0.501,0.165,0.842,2.405,0.97825,6.723,6.83,4.826,5.624,6.00075,3.36E-04,5.023,3.474,TRUE
SNRPD2,0.701,0,0,0.158,0.21475,4.994,5.841,5.216,4.81,5.21525,1.84E-06,5,5.709,
RPL3,4.419,0,2.018,0,1.60925,5.55,9.353,7.398,4.044,6.58625,1.87E-02,4.977,1.729,TRUE
KCMF1,1.031,0.274,0.814,1.149,0.817,6.113,5.869,5.585,5.602,5.79225,6.88E-07,4.975,6.188,
GNAQ,1.666,0,0,0,0.4165,6.158,6.169,4.357,4.851,5.38375,2.05E-04,4.967,3.689,
STX1A,0.436,0,0,0.783,0.30475,6.274,7.599,6.514,0.538,5.23125,2.18E-02,4.926,1.662,
TAOK1,0.138,0,0.581,0,0.17975,4.765,5.052,4.99,5.539,5.0865,5.15E-07,4.907,6.354,
NEFH,1.454,2.146,0,0.363,0.99075,5.743,5.856,5.959,5.901,5.86475,6.39E-05,4.874,4.194,
CLU,0,0,0.048,0,0.012,5.334,5.277,4.558,4.35,4.87975,1.15E-06,4.868,5.925,
SYNE1,1.855,1.322,0.327,1.297,1.20025,6.008,6.451,5.393,6.419,6.06775,1.93E-05,4.867,4.711,
7-Sep,0,0.176,0.695,0.465,0.334,5.195,6.012,5.249,4.267,5.18075,1.62E-05,4.847,4.787,
ADD1,1.069,0,0.758,0,0.45675,6.286,5.679,5.988,3.245,5.2995,6.40E-04,4.843,3.194,
